,Date,Home Team,Away Team,Betting Score Spread,Final Score Spread,Betting Line Error
4747,2021-05-05 00:00:00,ATL,PHX,1.0,-32,33.0
4786,2021-05-10 00:00:00,ATL,WAS,-8.0,-1,-7.0
4803,2021-05-12 00:00:00,ATL,WAS,-7.0,-4,-3.0
4811,2021-05-13 00:00:00,ATL,ORL,-13.5,-23,9.5
4837,2021-05-16 00:00:00,ATL,HOU,-7.5,-29,21.5
941,2018-03-04 00:00:00,ATL,PHX,-1.5,-1,-0.5
4872,2021-05-28 00:00:00,ATL,NYK,-4.5,-11,6.5
4142,2021-02-12 00:00:00,ATL,SAS,-2.5,11,-13.5
4905,2021-06-11 00:00:00,ATL,PHI,1.5,16,-14.5
4098,2021-02-06 00:00:00,ATL,TOR,1.0,-11,12.0
4073,2021-02-03 00:00:00,ATL,DAL,2.0,6,-4.0
3280,2020-01-22 00:00:00,ATL,LAC,4.5,-7,11.5
3310,2020-01-26 00:00:00,ATL,WAS,-1.0,-19,18.0
3338,2020-01-30 00:00:00,ATL,PHI,6.0,-10,16.0
3367,2020-02-03 00:00:00,ATL,BOS,6.0,8,-2.0
3409,2020-02-09 00:00:00,ATL,NYK,-5.0,-5,0.0
3443,2020-02-20 00:00:00,ATL,MIA,6.0,-5,11.0
3459,2020-02-22 00:00:00,ATL,DAL,1.0,-4,5.0
3489,2020-02-26 00:00:00,ATL,ORL,2.5,10,-7.5
3500,2020-02-28 00:00:00,ATL,BKN,2.0,-23,25.0
3510,2020-02-29 00:00:00,ATL,POR,-2.5,-12,9.5
3527,2020-03-02 00:00:00,ATL,MEM,-2.0,39,-41.0
3579,2020-03-09 00:00:00,ATL,CHA,-5.0,-5,0.0
3592,2020-03-11 00:00:00,ATL,NYK,-5.5,5,-10.5
1213,2018-04-10 00:00:00,ATL,PHI,10.0,8,2.0
3806,2020-12-28 00:00:00,ATL,DET,-10.5,-8,-2.5
3848,2021-01-02 00:00:00,ATL,CLE,-5.5,5,-10.5
1170,2018-04-04 00:00:00,ATL,MIA,7.0,29,-22.0
3860,2021-01-04 00:00:00,ATL,NYK,-7.0,5,-12.0
3875,2021-01-06 00:00:00,ATL,CHA,-6.0,8,-14.0
3917,2021-01-11 00:00:00,ATL,PHI,-6.0,-18,12.0
3957,2021-01-18 00:00:00,ATL,MIN,-7.0,-11,4.0
1146,2018-04-01 00:00:00,ATL,ORL,-1.5,-6,4.5
3970,2021-01-20 00:00:00,ATL,DET,-4.5,-8,3.5
4013,2021-01-26 00:00:00,ATL,LAC,-5.5,-9,3.5
1129,2018-03-30 00:00:00,ATL,PHI,7.5,10,-2.5
4019,2021-01-27 00:00:00,ATL,BKN,6.0,4,2.0
4056,2021-02-01 00:00:00,ATL,LAL,7.0,8,-1.0
4081,2021-02-04 00:00:00,ATL,UTA,10.0,21,-11.0
7663,2023-11-11 00:00:00,ATL,MIA,-8.0,8,-16.0
1668,2018-12-05 00:00:00,ATL,WAS,3.5,14,-10.5
8446,2024-03-10 00:00:00,ATL,NOP,6.5,13,-6.5
7691,2023-11-15 00:00:00,ATL,NYK,-1.0,2,-3.0
203,2017-11-15 00:00:00,ATL,SAC,-5.0,-46,41.0
7934,2023-12-23 00:00:00,ATL,MEM,1.0,6,-5.0
8555,2024-03-25 00:00:00,ATL,BOS,10.5,-2,12.5
8043,2024-01-10 00:00:00,ATL,PHI,1.0,-7,8.0
8342,2024-02-25 00:00:00,ATL,ORL,1.0,-17,18.0
7735,2023-11-22 00:00:00,ATL,BKN,-3.5,-2,-1.5
8356,2024-02-27 00:00:00,ATL,UTA,-2.0,-27,25.0
8283,2024-02-12 00:00:00,ATL,CHI,-5.0,10,-15.0
7702,2023-11-17 00:00:00,ATL,PHI,1.5,10,-8.5
8625,2024-04-03 00:00:00,ATL,DET,-12.5,-8,-4.5
8174,2024-01-28 00:00:00,ATL,TOR,-7.0,-1,-6.0
7825,2023-12-06 00:00:00,ATL,BKN,-3.5,1,-4.5
8542,2024-03-23 00:00:00,ATL,CHA,-7.5,-41,33.5
8054,2024-01-12 00:00:00,ATL,IND,-6.0,18,-24.0
8189,2024-01-30 00:00:00,ATL,LAL,-5.5,-16,10.5
122,2017-11-03 00:00:00,ATL,HOU,9.0,15,-6.0
8065,2024-01-13 00:00:00,ATL,WAS,-8.0,28,-36.0
229,2017-11-18 00:00:00,ATL,BOS,6.0,11,-5.0
8669,2024-04-09 00:00:00,ATL,MIA,3.5,6,-2.5
8219,2024-02-03 00:00:00,ATL,GSW,-2.0,-7,5.0
8092,2024-01-17 00:00:00,ATL,ORL,-4.5,-2,-2.5
145,2017-11-06 00:00:00,ATL,BOS,8.0,3,5.0
8210,2024-02-02 00:00:00,ATL,PHX,3.0,-9,12.0
8081,2024-01-15 00:00:00,ATL,SAS,-8.5,-10,1.5
7729,2023-11-21 00:00:00,ATL,IND,-3.5,5,-8.5
7853,2023-12-11 00:00:00,ATL,DEN,3.0,7,-4.0
8325,2024-02-23 00:00:00,ATL,TOR,-7.5,2,-9.5
71,2017-10-27 00:00:00,ATL,DEN,7.5,5,2.5
8274,2024-02-10 00:00:00,ATL,HOU,-7.0,-9,2.0
8572,2024-03-27 00:00:00,ATL,POR,-12.0,-14,2.0
84,2017-10-29 00:00:00,ATL,MIL,6.0,11,-5.0
8236,2024-02-05 00:00:00,ATL,LAC,4.0,5,-1.0
8115,2024-01-20 00:00:00,ATL,CLE,2.0,21,-19.0
7989,2024-01-03 00:00:00,ATL,OKC,1.0,-3,4.0
8416,2024-03-06 00:00:00,ATL,CLE,1.0,-11,12.0
8597,2024-03-30 00:00:00,ATL,MIL,5.0,9,-4.0
8154,2024-01-26 00:00:00,ATL,DAL,1.5,5,-3.5
8681,2024-04-10 00:00:00,ATL,CHA,-8.5,1,-9.5
8581,2024-03-28 00:00:00,ATL,BOS,16.0,-1,17.0
2715,2019-11-04 00:00:00,BKN,NOP,-3.5,-10,6.5
8135,2024-01-23 00:00:00,BKN,NYK,3.5,5,-1.5
5153,2021-11-17 00:00:00,BKN,CLE,-10.0,-10,0.0
5350,2021-12-14 00:00:00,BKN,TOR,-4.0,-2,-2.0
6530,2022-11-28 00:00:00,BKN,ORL,-12.0,-7,-5.0
5231,2021-11-27 00:00:00,BKN,PHX,-1.5,6,-7.5
3807,2020-12-28 00:00:00,BKN,MEM,1.5,5,-3.5
455,2017-12-20 00:00:00,BKN,SAC,-5.5,5,-10.5
1429,2018-11-02 00:00:00,BKN,HOU,4.0,8,-4.0
6557,2022-12-02 00:00:00,BKN,TOR,-1.5,-9,7.5
5169,2021-11-19 00:00:00,BKN,ORL,-9.5,-2,-7.5
6543,2022-11-30 00:00:00,BKN,WAS,-5.5,-6,0.5
3990,2021-01-23 00:00:00,BKN,MIA,-7.5,-4,-3.5
6519,2022-11-27 00:00:00,BKN,POR,-8.0,-14,6.0
7838,2023-12-08 00:00:00,BKN,WAS,-9.0,-27,18.0
556,2018-01-03 00:00:00,BKN,MIN,6.0,-1,7.0
2813,2019-11-18 00:00:00,BKN,IND,-2.5,29,-31.5
3767,2020-12-22 00:00:00,BKN,GSW,-7.5,-26,18.5
8084,2024-01-15 00:00:00,BKN,MIA,1.0,1,0.0
6472,2022-11-20 00:00:00,BKN,MEM,-7.5,-12,4.5
5378,2021-12-18 00:00:00,BKN,ORL,0.0,7,-7.0
2314,2019-03-11 00:00:00,BKN,DET,-2.0,-28,26.0
5147,2021-11-16 00:00:00,BKN,GSW,-3.0,18,-21.0
544,2018-01-01 00:00:00,BKN,ORL,-1.5,-3,1.5
1415,2018-10-31 00:00:00,BKN,DET,-2.5,-1,-1.5
8514,2024-03-19 00:00:00,BKN,NOP,7.0,13,-6.0
6856,2023-01-12 00:00:00,BKN,BOS,1.0,11,-10.0
5365,2021-12-16 00:00:00,BKN,PHI,0.0,-9,9.0
824,2018-02-10 00:00:00,BKN,NOP,2.5,10,-7.5
3821,2020-12-30 00:00:00,BKN,ATL,-5.5,-4,-1.5
7792,2023-11-30 00:00:00,BKN,CHA,-9.0,1,-10.0
1669,2018-12-05 00:00:00,BKN,OKC,6.0,2,4.0
6575,2022-12-04 00:00:00,BKN,BOS,2.5,11,-8.5
2692,2019-11-01 00:00:00,BKN,HOU,4.5,-7,11.5
2564,2019-04-20 00:00:00,BKN,PHI,3.0,4,-1.0
3883,2021-01-07 00:00:00,BKN,PHI,4.0,-13,17.0
2558,2019-04-18 00:00:00,BKN,PHI,1.5,16,-14.5
5280,2021-12-04 00:00:00,BKN,CHI,-2.5,4,-6.5
5273,2021-12-03 00:00:00,BKN,MIN,-9.0,-5,-4.0
2532,2019-04-10 00:00:00,BKN,MIA,-4.5,-19,14.5
841,2018-02-12 00:00:00,BKN,LAC,4.5,13,-8.5
7808,2023-12-02 00:00:00,BKN,ORL,-2.5,-28,25.5
6698,2022-12-21 00:00:00,BKN,GSW,-10.5,-30,19.5
5251,2021-11-30 00:00:00,BKN,NYK,-6.0,-2,-4.0
6711,2022-12-23 00:00:00,BKN,MIL,-2.5,-18,15.5
3908,2021-01-10 00:00:00,BKN,OKC,-8.0,13,-21.0
3921,2021-01-12 00:00:00,BKN,DEN,-1.5,-6,4.5
854,2018-02-14 00:00:00,BKN,IND,3.5,5,-1.5
2480,2019-04-03 00:00:00,BKN,TOR,2.0,10,-8.0
8587,2024-03-29 00:00:00,BKN,CHI,3.0,-17,20.0
2464,2019-04-01 00:00:00,BKN,MIL,1.0,10,-9.0
200,2017-11-14 00:00:00,BKN,BOS,6.5,7,-0.5
6784,2023-01-02 00:00:00,BKN,SAS,-12.0,-36,24.0
2681,2019-10-30 00:00:00,BKN,IND,-3.0,10,-13.0
6593,2022-12-07 00:00:00,BKN,CHA,-10.0,-6,-4.0
3837,2021-01-01 00:00:00,BKN,ATL,-6.0,18,-24.0
37,2017-10-22 00:00:00,BKN,ATL,-1.0,-12,11.0
6609,2022-12-09 00:00:00,BKN,ATL,-7.5,-4,-3.5
472,2017-12-22 00:00:00,BKN,WAS,6.5,-35,41.5
2642,2019-10-25 00:00:00,BKN,NYK,-8.0,-4,-4.0
1445,2018-11-04 00:00:00,BKN,PHI,4.0,-25,29.0
3960,2021-01-18 00:00:00,BKN,MIL,4.0,-2,6.0
3851,2021-01-03 00:00:00,BKN,WAS,-7.5,1,-8.5
2448,2019-03-30 00:00:00,BKN,BOS,-4.0,-14,10.0
2629,2019-10-23 00:00:00,BKN,MIN,-3.5,1,-4.5
3867,2021-01-05 00:00:00,BKN,UTA,4.5,-34,38.5
1147,2018-04-01 00:00:00,BKN,DET,1.0,12,-11.0
4545,2021-04-10 00:00:00,BKN,LAL,-11.5,25,-36.5
798,2018-02-06 00:00:00,BKN,HOU,11.5,10,1.5
5452,2021-12-30 00:00:00,BKN,PHI,-5.0,8,-13.0
5993,2022-03-21 00:00:00,BKN,UTA,2.0,-8,10.0
667,2018-01-19 00:00:00,BKN,MIA,3.0,-6,9.0
3209,2020-01-12 00:00:00,BKN,ATL,-9.0,-22,13.0
7935,2023-12-23 00:00:00,BKN,DET,-9.5,-11,1.5
6039,2022-03-27 00:00:00,BKN,CHA,-7.0,9,-16.0
8372,2024-02-29 00:00:00,BKN,ATL,-1.0,-27,26.0
3192,2020-01-10 00:00:00,BKN,MIA,4.0,-4,8.0
8020,2024-01-07 00:00:00,BKN,POR,-9.5,7,-16.5
654,2018-01-17 00:00:00,BKN,SAS,5.0,5,0.0
6052,2022-03-29 00:00:00,BKN,DET,-13.5,-7,-6.5
3173,2020-01-07 00:00:00,BKN,OKC,1.0,8,-7.0
57,2017-10-25 00:00:00,BKN,CLE,8.0,-5,13.0
6068,2022-03-31 00:00:00,BKN,MIL,-2.0,1,-3.0
3542,2020-03-04 00:00:00,BKN,MEM,-1.5,39,-40.5
3553,2020-03-06 00:00:00,BKN,SAS,-2.5,-19,16.5
7924,2023-12-22 00:00:00,BKN,DEN,4.5,5,-0.5
641,2018-01-15 00:00:00,BKN,NYK,-3.5,15,-18.5
3147,2020-01-04 00:00:00,BKN,TOR,-2.0,19,-21.0
1329,2018-10-19 00:00:00,BKN,NYK,-4.0,-2,-2.0
3222,2020-01-14 00:00:00,BKN,UTA,3.0,11,-8.0
6100,2022-04-05 00:00:00,BKN,HOU,-16.5,-13,-3.5
5731,2022-02-08 00:00:00,BKN,BOS,10.5,35,-24.5
3250,2020-01-18 00:00:00,BKN,MIL,10.5,20,-9.5
3331,2020-01-29 00:00:00,BKN,DET,-5.5,-10,4.5
5857,2022-03-03 00:00:00,BKN,MIA,2.0,6,-4.0
3343,2020-01-31 00:00:00,BKN,CHI,-5.5,-15,9.5
8400,2024-03-04 00:00:00,BKN,MEM,-9.5,4,-13.5
3368,2020-02-03 00:00:00,BKN,PHX,-2.0,-22,20.0
3378,2020-02-05 00:00:00,BKN,GSW,-6.5,-41,34.5
3290,2020-01-23 00:00:00,BKN,LAL,5.0,15,-10.0
5805,2022-02-24 00:00:00,BKN,BOS,9.0,23,-14.0
5800,2022-02-17 00:00:00,BKN,WAS,-4.5,14,-18.5
5931,2022-03-13 00:00:00,BKN,NYK,-5.5,-3,-2.5
8003,2024-01-05 00:00:00,BKN,OKC,5.0,-9,14.0
5773,2022-02-14 00:00:00,BKN,SAC,2.0,-24,26.0
3431,2020-02-12 00:00:00,BKN,TOR,4.0,-10,14.0
